amostra,atributos,classe_real,classe_prevista,acerto
1,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.2,1,1,sim
56,Bias=1.0 | PetalLength=4.5 | PetalWidth=1.3,-1,-1,sim
57,Bias=1.0 | PetalLength=4.7 | PetalWidth=1.6,-1,-1,sim
58,Bias=1.0 | PetalLength=3.3 | PetalWidth=1.0,-1,-1,sim
59,Bias=1.0 | PetalLength=4.6 | PetalWidth=1.3,-1,-1,sim
60,Bias=1.0 | PetalLength=3.9 | PetalWidth=1.4,-1,-1,sim
61,Bias=1.0 | PetalLength=3.5 | PetalWidth=1.0,-1,-1,sim
62,Bias=1.0 | PetalLength=4.2 | PetalWidth=1.5,-1,-1,sim
63,Bias=1.0 | PetalLength=4.0 | PetalWidth=1.0,-1,-1,sim
64,Bias=1.0 | PetalLength=4.7 | PetalWidth=1.4,-1,-1,sim
65,Bias=1.0 | PetalLength=3.6 | PetalWidth=1.3,-1,-1,sim
66,Bias=1.0 | PetalLength=4.4 | PetalWidth=1.4,-1,-1,sim
67,Bias=1.0 | PetalLength=4.5 | PetalWidth=1.5,-1,-1,sim
68,Bias=1.0 | PetalLength=4.1 | PetalWidth=1.0,-1,-1,sim
69,Bias=1.0 | PetalLength=4.5 | PetalWidth=1.5,-1,-1,sim
70,Bias=1.0 | PetalLength=3.9 | PetalWidth=1.1,-1,-1,sim
71,Bias=1.0 | PetalLength=4.8 | PetalWidth=1.8,-1,-1,sim
72,Bias=1.0 | PetalLength=4.0 | PetalWidth=1.3,-1,-1,sim
73,Bias=1.0 | PetalLength=4.9 | PetalWidth=1.5,-1,-1,sim
74,Bias=1.0 | PetalLength=4.7 | PetalWidth=1.2,-1,-1,sim
75,Bias=1.0 | PetalLength=4.3 | PetalWidth=1.3,-1,-1,sim
76,Bias=1.0 | PetalLength=4.4 | PetalWidth=1.4,-1,-1,sim
77,Bias=1.0 | PetalLength=4.8 | PetalWidth=1.4,-1,-1,sim
78,Bias=1.0 | PetalLength=5.0 | PetalWidth=1.7,-1,-1,sim
79,Bias=1.0 | PetalLength=4.5 | PetalWidth=1.5,-1,-1,sim
80,Bias=1.0 | PetalLength=3.5 | PetalWidth=1.0,-1,-1,sim
81,Bias=1.0 | PetalLength=3.8 | PetalWidth=1.1,-1,-1,sim
82,Bias=1.0 | PetalLength=3.7 | PetalWidth=1.0,-1,-1,sim
83,Bias=1.0 | PetalLength=3.9 | PetalWidth=1.2,-1,-1,sim
84,Bias=1.0 | PetalLength=5.1 | PetalWidth=1.6,-1,-1,sim
85,Bias=1.0 | PetalLength=4.5 | PetalWidth=1.5,-1,-1,sim
86,Bias=1.0 | PetalLength=4.5 | PetalWidth=1.6,-1,-1,sim
87,Bias=1.0 | PetalLength=4.7 | PetalWidth=1.5,-1,-1,sim
88,Bias=1.0 | PetalLength=4.4 | PetalWidth=1.3,-1,-1,sim
89,Bias=1.0 | PetalLength=4.1 | PetalWidth=1.3,-1,-1,sim
90,Bias=1.0 | PetalLength=4.0 | PetalWidth=1.3,-1,-1,sim
91,Bias=1.0 | PetalLength=4.4 | PetalWidth=1.2,-1,-1,sim
92,Bias=1.0 | PetalLength=4.6 | PetalWidth=1.4,-1,-1,sim
93,Bias=1.0 | PetalLength=4.0 | PetalWidth=1.2,-1,-1,sim
94,Bias=1.0 | PetalLength=3.3 | PetalWidth=1.0,-1,-1,sim
95,Bias=1.0 | PetalLength=4.2 | PetalWidth=1.3,-1,-1,sim
96,Bias=1.0 | PetalLength=4.2 | PetalWidth=1.2,-1,-1,sim
97,Bias=1.0 | PetalLength=4.2 | PetalWidth=1.3,-1,-1,sim
98,Bias=1.0 | PetalLength=4.3 | PetalWidth=1.3,-1,-1,sim
99,Bias=1.0 | PetalLength=3.0 | PetalWidth=1.1,-1,-1,sim
100,Bias=1.0 | PetalLength=4.1 | PetalWidth=1.3,-1,-1,sim
101,Bias=1.0 | PetalLength=6.0 | PetalWidth=2.5,-1,-1,sim
102,Bias=1.0 | PetalLength=5.1 | PetalWidth=1.9,-1,-1,sim
103,Bias=1.0 | PetalLength=5.9 | PetalWidth=2.1,-1,-1,sim
104,Bias=1.0 | PetalLength=5.6 | PetalWidth=1.8,-1,-1,sim
105,Bias=1.0 | PetalLength=5.8 | PetalWidth=2.2,-1,-1,sim
106,Bias=1.0 | PetalLength=6.6 | PetalWidth=2.1,-1,-1,sim
107,Bias=1.0 | PetalLength=4.5 | PetalWidth=1.7,-1,-1,sim
108,Bias=1.0 | PetalLength=6.3 | PetalWidth=1.8,-1,-1,sim
109,Bias=1.0 | PetalLength=5.8 | PetalWidth=1.8,-1,-1,sim
110,Bias=1.0 | PetalLength=6.1 | PetalWidth=2.5,-1,-1,sim
111,Bias=1.0 | PetalLength=5.1 | PetalWidth=2.0,-1,-1,sim
112,Bias=1.0 | PetalLength=5.3 | PetalWidth=1.9,-1,-1,sim
113,Bias=1.0 | PetalLength=5.5 | PetalWidth=2.1,-1,-1,sim
114,Bias=1.0 | PetalLength=5.0 | PetalWidth=2.0,-1,-1,sim
115,Bias=1.0 | PetalLength=5.1 | PetalWidth=2.4,-1,-1,sim
116,Bias=1.0 | PetalLength=5.3 | PetalWidth=2.3,-1,-1,sim
117,Bias=1.0 | PetalLength=5.5 | PetalWidth=1.8,-1,-1,sim
118,Bias=1.0 | PetalLength=6.7 | PetalWidth=2.2,-1,-1,sim
119,Bias=1.0 | PetalLength=6.9 | PetalWidth=2.3,-1,-1,sim
120,Bias=1.0 | PetalLength=5.0 | PetalWidth=1.5,-1,-1,sim
121,Bias=1.0 | PetalLength=5.7 | PetalWidth=2.3,-1,-1,sim
122,Bias=1.0 | PetalLength=4.9 | PetalWidth=2.0,-1,-1,sim
123,Bias=1.0 | PetalLength=6.7 | PetalWidth=2.0,-1,-1,sim
124,Bias=1.0 | PetalLength=4.9 | PetalWidth=1.8,-1,-1,sim
125,Bias=1.0 | PetalLength=5.7 | PetalWidth=2.1,-1,-1,sim
126,Bias=1.0 | PetalLength=6.0 | PetalWidth=1.8,-1,-1,sim
127,Bias=1.0 | PetalLength=4.8 | PetalWidth=1.8,-1,-1,sim
128,Bias=1.0 | PetalLength=4.9 | PetalWidth=1.8,-1,-1,sim
129,Bias=1.0 | PetalLength=5.6 | PetalWidth=2.1,-1,-1,sim
130,Bias=1.0 | PetalLength=5.8 | PetalWidth=1.6,-1,-1,sim
131,Bias=1.0 | PetalLength=6.1 | PetalWidth=1.9,-1,-1,sim
132,Bias=1.0 | PetalLength=6.4 | PetalWidth=2.0,-1,-1,sim
133,Bias=1.0 | PetalLength=5.6 | PetalWidth=2.2,-1,-1,sim
134,Bias=1.0 | PetalLength=5.1 | PetalWidth=1.5,-1,-1,sim
135,Bias=1.0 | PetalLength=5.6 | PetalWidth=1.4,-1,-1,sim
136,Bias=1.0 | PetalLength=6.1 | PetalWidth=2.3,-1,-1,sim
137,Bias=1.0 | PetalLength=5.6 | PetalWidth=2.4,-1,-1,sim
138,Bias=1.0 | PetalLength=5.5 | PetalWidth=1.8,-1,-1,sim
139,Bias=1.0 | PetalLength=4.8 | PetalWidth=1.8,-1,-1,sim
140,Bias=1.0 | PetalLength=5.4 | PetalWidth=2.1,-1,-1,sim
141,Bias=1.0 | PetalLength=5.6 | PetalWidth=2.4,-1,-1,sim
142,Bias=1.0 | PetalLength=5.1 | PetalWidth=2.3,-1,-1,sim
143,Bias=1.0 | PetalLength=5.1 | PetalWidth=1.9,-1,-1,sim
144,Bias=1.0 | PetalLength=5.9 | PetalWidth=2.3,-1,-1,sim
145,Bias=1.0 | PetalLength=5.7 | PetalWidth=2.5,-1,-1,sim
146,Bias=1.0 | PetalLength=5.2 | PetalWidth=2.3,-1,-1,sim
147,Bias=1.0 | PetalLength=5.0 | PetalWidth=1.9,-1,-1,sim
148,Bias=1.0 | PetalLength=5.2 | PetalWidth=2.0,-1,-1,sim
149,Bias=1.0 | PetalLength=5.4 | PetalWidth=2.3,-1,-1,sim
150,Bias=1.0 | PetalLength=5.1 | PetalWidth=1.8,-1,-1,sim
